eu,glade/po,,,
eu,gnome-i18n/extra-po/gnapster,,,
eu,gnome-applets/po,22,30,794
eu,gnome-chess/po,,,
eu,gnome-core/po,342,201,209
eu,gnome-db/po,,,
eu,gnome-games/po,,,
eu,gnome-libs/po,363,14,
eu,gnome-lokkit/po,,,
eu,gnome-media/po,,,
eu,gnome-pilot/po,,,
eu,gnome-pim/po,,,
eu,gnome-print/po,,,
eu,gnome-utils/po,,,
eu,gnome-vfs/po,,,
eu,gnomeicu/po,,,
eu,gnorpm/po,,,
eu,gnumeric/po,,,
eu,gphoto/po,,,
eu,gtk+/po,113,1,2
eu,gnome-i18n/extra-po/gtm,,,
eu,gtop/po,,,
eu,gtranslator/po,,,
eu,guppi3/po,,,
eu,gxsnmp/po,,,
eu,gnome-i18n/extra-po/helix-gdm2,,,
eu,helix-install/src/rpm-3.0.3/po,,,
eu,libgtop/po,,,
eu,magicdev/po,,,
eu,mc/po,,,
eu,memprof/po,,,
eu,nautilus/po,,,
eu,pan/po,,,
eu,rp3/po,,,
eu,sodipodi/po,,,
eu,gnome-i18n/extra-po/sawfish,,,
eu,gnome-i18n/extra-po/xchat,,,
fi,achtung/po,,,
fi,balsa/po,27,127,219
fi,bonobo/po,,,
fi,bug-buddy/po,112,,
fi,control-center/po,307,,
fi,dia/po,,,
fi,dr-genius/po,,,
fi,eog/po,43,2,2
fi,evolution/po,,,
fi,gconf/po,203,,
fi,gdm2/po,120,26,2
fi,gnome-i18n/extra-po/gdm2beta5,,,
fi,gedit/po,,,
fi,gfloppy/po,34,,
fi,ggv/po,97,,
fi,ghex/po,79,11,17
fi,gimp/po,1288,22,51
fi,gimp/po-libgimp,47,,1
fi,gimp/po-script-fu,3,1,420
fi,gimp/po-plug-ins,184,7,2585
fi,gimp-freetype/po,,,
fi,glade/po,,,
fi,gnome-i18n/extra-po/gnapster,,,
fi,gnome-applets/po,681,30,135
fi,gnome-chess/po,,,
fi,gnome-core/po,752,,
fi,gnome-db/po,,,
fi,gnome-games/po,620,,
fi,gnome-libs/po,377,,
fi,gnome-lokkit/po,,,
fi,gnome-media/po,111,16,122
fi,gnome-pilot/po,,,
fi,gnome-pim/po,347,44,71
fi,gnome-print/po,73,,3
fi,gnome-utils/po,340,126,227
fi,gnome-vfs/po,,,
fi,gnomeicu/po,509,14,57
fi,gnorpm/po,147,,130
fi,gnumeric/po,257,511,1316
fi,gphoto/po,,,
fi,gtk+/po,113,1,2
fi,gnome-i18n/extra-po/gtm,,,
fi,gtop/po,,,
fi,gtranslator/po,,,
fi,guppi3/po,,,
fi,gxsnmp/po,,,
fi,gnome-i18n/extra-po/helix-gdm2,,,
fi,helix-install/src/rpm-3.0.3/po,257,246,246
fi,libgtop/po,88,4,188
fi,magicdev/po,,,
fi,mc/po,740,105,667
fi,memprof/po,,,
fi,nautilus/po,,,
fi,pan/po,505,39,52
fi,rp3/po,,,
fi,sodipodi/po,,,
fi,gnome-i18n/extra-po/sawfish,,,
fi,gnome-i18n/extra-po/xchat,,,
fr,achtung/po,55,28,40
fr,balsa/po,333,10,30
fr,bonobo/po,11,9,76
fr,bug-buddy/po,64,22,26
fr,control-center/po,307,,
fr,dia/po,581,27,7
fr,dr-genius/po,107,33,283
fr,eog/po,45,,2
fr,evolution/po,14,8,197
fr,gconf/po,3,,200
fr,gdm2/po,146,,2
fr,gnome-i18n/extra-po/gdm2beta5,103,32,8
fr,gedit/po,152,2,16
fr,gfloppy/po,26,3,6
fr,ggv/po,95,1,1
fr,ghex/po,79,11,17
fr,gimp/po,1310,38,13
fr,gimp/po-libgimp,48,,
fr,gimp/po-script-fu,35,89,299
fr,gimp/po-plug-ins,2657,91,28
fr,gimp-freetype/po,27,,8
fr,glade/po,1160,11,6
fr,gnome-i18n/extra-po/gnapster,29,23,34
fr,gnome-applets/po,471,75,300
fr,gnome-chess/po,48,,
fr,gnome-core/po,744,,8
fr,gnome-db/po,164,214,201
fr,gnome-games/po,529,35,56
fr,gnome-libs/po,359,15,3
fr,gnome-lokkit/po,,,
fr,gnome-media/po,119,14,116
fr,gnome-pilot/po,32,101,154
fr,gnome-pim/po,356,39,67
fr,gnome-print/po,31,7,38
fr,gnome-utils/po,378,111,204
fr,gnome-vfs/po,114,1,
fr,gnomeicu/po,567,3,10
fr,gnorpm/po,260,3,14
fr,gnumeric/po,749,635,700
fr,gphoto/po,,,
fr,gtk+/po,113,1,2
fr,gnome-i18n/extra-po/gtm,103,11,19
fr,gtop/po,249,4,
fr,gtranslator/po,,,
fr,guppi3/po,2,1,134
fr,gxsnmp/po,262,,1
